"Inst";"Bound Schedulling";"Heuristic";"N Jobs Conflict";"Bound Heuristic";"Gap % Heur. / Sched.";"Bound After Lunch";"Gap % Heur. Lunch / Sched.";"Time (s)";"Extra Hours";"min Extra Hours"
"6_17";"199";"Ṇo";"0";"199";"0,00%";"208";"4,52%";"0,1849471";"NAO";"0"
"6_20";"248";"Ṇo";"0";"248";"0,00%";"275";"10,89%";"0,5209521";"SIM";"50"
"6_22";"256";"Sim";"4";"275";"7,42%";"309";"20,70%";"0,704437";"SIM";"220"
"6_25";"343";"Sim";"6";"375";"9,33%";"431";"25,66%";"0,4698802";"SIM";"310"
"6_27";"493";"Ṇo";"0";"493";"0,00%";"568";"15,21%";"0,5765938";"SIM";"20"
"6_30";"480";"Ṇo";"0";"480";"0,00%";"560";"16,67%";"0,4591659";"SIM";"20"
"6_32";"324";"Sim";"4";"355";"9,57%";"385";"18,83%";"0,4735925";"SIM";"300"
"6_35";"344";"Sim";"4";"382";"11,05%";"405";"17,73%";"1,1716611";"SIM";"310"
"6_36";"384";"Ṇo";"0";"384";"0,00%";"446";"16,15%";"0,3071577";"NAO";"0"
"6_39";"449";"Sim";"2";"453";"0,89%";"516";"14,92%";"0,4129368";"SIM";"90"
"6_40";"483";"Sim";"2";"483";"0,00%";"537";"11,18%";"0,7126436";"SIM";"40"
"6_45";"549";"Sim";"1";"553";"0,73%";"656";"19,49%";"1,2242756";"SIM";"110"
"8_40_2";"503";"Sim";"1";"509";"1,19%";"583";"15,90%";"2,5654318";"SIM";"110"
"8_22";"352";"Ṇo";"0";"352";"0,00%";"367";"4,26%";"20,0976896";"NAO";"0"
"8_25";"406";"Sim";"1";"416";"2,46%";"460";"13,30%";"31,3603108";"SIM";"110"
"8_27";"358";"Sim";"3";"389";"8,66%";"407";"13,69%";"105,6532432";"SIM";"220"
"8_30";"351";"Sim";"2";"388";"10,54%";"388";"10,54%";"1,2977676";"SIM";"290"
"8_32";"513";"Sim";"1";"525";"2,34%";"590";"15,01%";"9,8161615";"SIM";"100"
"8_35";"603";"Ṇo";"0";"603";"0,00%";"673";"11,61%";"0,57906";"NAO";"0"
"8_36";"398";"Sim";"1";"398";"0,00%";"443";"11,31%";"7,5501179";"NAO";"0"
"8_40";"407";"Sim";"5";"437";"7,37%";"500";"22,85%";"0,7737131";"SIM";"370"
"8_42";"462";"Sim";"2";"462";"0,00%";"479";"3,68%";"0,6309458";"NAO";"0"
"8_45";"501";"Sim";"7";"564";"12,57%";"600";"19,76%";"9,7175751";"SIM";"450"
"8_50";"664";"Sim";"2";"687";"3,46%";"766";"15,36%";"7,7979969";"SIM";"200"
"10_26";"458";"Sim";"3";"464";"1,31%";"525";"14,63%";"1,9055859";"SIM";"100"
"10_30";"526";"Sim";"3";"541";"2,85%";"598";"13,69%";"4,157631";"SIM";"160"
"10_32";"431";"Sim";"3";"445";"3,25%";"482";"11,83%";"18,76126";"SIM";"180"
"10_35";"459";"Sim";"3";"502";"9,37%";"549";"19,61%";"2,1503264";"SIM";"350"
"10_37";"529";"Sim";"1";"529";"0,00%";"574";"8,51%";"4,9313241";"SIM";"30"
"10_40";"603";"Sim";"3";"628";"4,15%";"704";"16,75%";"9,4838192";"SIM";"120"
"10_41";"534";"Sim";"4";"571";"6,93%";"618";"15,73%";"14,10785";"SIM";"280"
"10_43";"520";"Sim";"2";"544";"4,62%";"602";"15,77%";"8,7790053";"SIM";"110"
"10_45";"625";"Sim";"3";"674";"7,84%";"751";"20,16%";"9,5554564";"SIM";"460"
"10_49";"618";"Sim";"1";"618";"0,00%";"650";"5,18%";"21,9922511";"SIM";"40"
"10_50";"649";"Sim";"2";"669";"3,08%";"773";"19,11%";"7,1825065";"SIM";"290"
"10_55";"714";"Sim";"3";"751";"5,18%";"823";"15,27%";"40,632411";"SIM";"250"
